date,open,high,low,close,volume
2007-06-26,223.92,224.73,220.36,222.43,111227.0
2007-06-27,222.34,222.34,219.36,220.35,101971.0
2007-06-28,221.93,222.69,220.8,222.6,92487.0
2007-06-29,223.09,224.37,221.24,221.31,104237.0
2007-07-02,220.88,224.78,220.13,224.75,91099.0
2007-07-03,227.29,229.45,226.7,229.29,137617.0
2007-07-04,230.61,233.57,230.38,233.43,156600.0
2007-07-05,233.83,237.03,233.31,234.75,162176.0
2007-07-06,235.5,236.94,233.55,236.52,153596.0
2007-07-09,237.23,240.49,237.23,239.68,157939.0
2007-07-10,240.0,241.28,239.29,241.02,122720.0
2007-07-11,239.22,242.52,238.48,240.46,120456.0
2007-07-12,241.34,244.74,241.33,242.86,128711.0
2007-07-13,247.55,250.2,247.17,250.19,155575.0
2007-07-16,250.38,251.28,245.85,247.91,137375.0
2007-07-18,248.28,248.46,244.92,244.92,137020.0
2007-07-19,245.43,247.59,243.71,245.7,112690.0
2007-07-20,247.05,251.45,245.62,251.45,129644.0
2007-07-23,250.66,252.47,249.2,252.28,140445.0
2007-07-24,253.18,253.55,250.15,252.61,137435.0
2007-07-25,253.14,254.93,248.75,253.93,134367.0
2007-07-26,254.71,255.38,248.74,248.75,158374.0
2007-07-27,243.56,243.57,236.15,238.34,149271.0
2007-07-30,237.31,241.41,235.22,241.39,116251.0
2007-07-31,242.46,244.34,240.09,244.32,121747.0
2007-08-01,242.63,242.63,231.26,234.36,135889.0
2007-08-02,236.5,238.66,228.41,233.84,119483.0
2007-08-03,236.57,238.95,235.48,236.91,93444.0
2007-08-06,230.97,233.98,230.61,233.92,84782.0
2007-08-07,238.15,238.19,233.23,234.5,88720.0
2007-08-08,237.06,240.48,236.25,240.07,115049.0
2007-08-09,242.85,243.73,239.84,241.0,115667.0
2007-08-10,233.77,233.95,229.04,230.68,122042.0
2007-08-13,232.19,233.88,229.73,233.88,86716.0
2007-08-14,232.63,234.82,228.31,230.45,97533.0
2007-08-16,222.71,222.99,214.1,215.67,158714.0
2007-08-17,217.05,217.32,207.09,208.57,141330.0
2007-08-20,216.42,220.08,215.31,219.72,119384.0
2007-08-21,220.93,224.12,218.42,220.18,94174.0
2007-08-22,220.9,224.0,220.24,223.24,86646.0
2007-08-23,228.43,230.82,228.01,228.6,108206.0
2007-08-24,227.67,228.91,225.18,227.18,80772.0
2007-08-27,231.37,232.65,228.57,228.65,86155.0
2007-08-28,229.11,232.38,227.23,232.38,104930.0
2007-08-29,225.41,233.06,225.31,232.32,116176.0
2007-08-30,236.52,237.45,233.51,234.22,100814.0
2007-08-31,234.38,238.54,234.36,238.28,102794.0
2007-09-03,238.64,239.11,236.51,238.72,79371.0
2007-09-04,238.7,241.25,237.56,237.91,98231.0
2007-09-05,239.01,241.11,235.73,236.61,97676.0
2007-09-06,236.19,239.65,233.77,239.61,85859.0
2007-09-07,239.25,240.87,236.84,238.92,90749.0
2007-09-10,233.93,233.98,229.33,232.44,82437.0
2007-09-11,233.42,234.71,231.2,234.12,82105.0
2007-09-12,234.76,234.96,229.4,229.44,84334.0
2007-09-13,230.02,234.3,228.41,233.86,99429.0
2007-09-14,234.73,237.4,233.71,236.54,87662.0
2007-09-17,236.82,237.22,234.16,236.72,71429.0
2007-09-18,236.19,236.77,232.14,232.42,83715.0
2007-09-19,239.51,241.56,238.97,241.08,119720.0
2007-09-20,241.04,243.02,240.38,242.42,98905.0
2007-09-21,242.42,243.82,241.35,243.45,92741.0
2007-09-27,246.59,247.73,245.52,247.1,112542.0
2007-09-28,247.63,247.7,246.04,247.2,91239.0
2007-10-01,247.4,250.46,247.06,249.3,87381.0
2007-10-02,252.95,256.8,251.91,256.8,129998.0
2007-10-04,254.41,256.3,253.53,254.92,131155.0
2007-10-05,255.41,255.66,252.98,253.63,100865.0
2007-10-08,256.78,257.03,254.38,255.87,122070.0
2007-10-09,256.0,257.28,253.56,256.19,108913.0
2007-10-10,258.65,260.2,257.64,259.79,108991.0
2007-10-11,259.66,261.84,258.59,261.82,178074.0
2007-10-12,260.25,261.5,256.54,257.31,141495.0
2007-10-15,259.24,259.61,254.69,257.68,108033.0
2007-10-16,254.91,258.36,252.95,253.43,147413.0
